Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=-OVuFTp2DZQ,"2,212,152 views",58K,970,Chechnya Isn't What You'd Expect!,33,338
bald and bankrupt,https://www.youtube.com/watch?v=NZWOcYNr5oE,"2,856,670 views",75K,1.4K,Would You Ride The Night Train To Chechnya?,43,291
bald and bankrupt,https://www.youtube.com/watch?v=LzZNUKEGboU,"882,636 views",30K,1.5K,Escape From The Bolivian Village: A Babushka Boy Adventure,58,324
bald and bankrupt,https://www.youtube.com/watch?v=dQJ5Z4oFvsQ,"2,010,638 views",62K,1.7K,Entering A Bolivian Village...With A Briefcase,46,299
bald and bankrupt,https://www.youtube.com/watch?v=rSoFDivGIdc,"2,339,153 views",52K,1.5K,I Got Kicked Out Of A Bolivian Village!,39,379
bald and bankrupt,https://www.youtube.com/watch?v=W-hw42Fdg2s,"1,864,197 views",38K,1K,Avoid This Bolivian Taxi Driver!,32,335
bald and bankrupt,https://www.youtube.com/watch?v=c7McSZaH9Xw,"554,276 views",21K,422,A Short Film About Buying A Bolivian Hat ( Not Clickbait! ),59,1161
bald and bankrupt,https://www.youtube.com/watch?v=madplgRfebo,"5,579,412 views",107K,4.3K,Solo In Bolivia's Most Dangerous Hood,37,331
bald and bankrupt,https://www.youtube.com/watch?v=VP_RXTn7gVU,"658,661 views",23K,493,Stranded On A Russian Highway!,30,299
bald and bankrupt,https://www.youtube.com/watch?v=7KwFEw1weqI,"2,945,102 views",93K,1.1K,Delivering Vodka In The Chernobyl Zone 🇧🇾,41,280
bald and bankrupt,https://www.youtube.com/watch?v=WFQtAhH2B_c,"1,993,367 views",52K,697,I Found A Soviet Goblin! ( Jump Scare Warning! ),48,296
bald and bankrupt,https://www.youtube.com/watch?v=wa35Vx_07fQ,"1,953,058 views",49K,741,KARABASH...Russia's Toxic Town,30,414
bald and bankrupt,https://www.youtube.com/watch?v=g42o1rLPq0A,"1,444,014 views",45K,786,🇷🇺 Would You Live Here?! ( ft. NFKRZ ),38,433
bald and bankrupt,https://www.youtube.com/watch?v=RjykvLJ3DhU,"1,167,268 views",37K,597,What Did I just Step On Inside This Church?!,44,320
bald and bankrupt,https://www.youtube.com/watch?v=-eg2Ew_c2XQ,"2,885,320 views",64K,1K,Is This Really Europe?!,23,527
bald and bankrupt,https://www.youtube.com/watch?v=t-06FFQh6Zk,"1,426,099 views",34K,597,You Won't Believe This Russian Road!,36,334
