Channel Name,Video URL,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
bald and bankrupt,https://www.youtube.com/watch?v=7nTgiQZFuGw,"652,910 views",10K,161,Almost Khabib Time In Dagestan ( UFC Part 5 ),45,145
bald and bankrupt,https://www.youtube.com/watch?v=oDczB7g5F74,"767,105 views",14K,188,Lost In Chechnya ( UFC Part 4 ),31,134
bald and bankrupt,https://www.youtube.com/watch?v=usSAo9R7D5c,"1,607,396 views",25K,799,Eating In A Chechen Cafe,24,108
bald and bankrupt,https://www.youtube.com/watch?v=2hDrq01YaA4,"309,491 views",3.9K,76,Heading To Chechnya ( UFC Part 3 ),34,163
bald and bankrupt,https://www.youtube.com/watch?v=ha3dUbisRuk,"892,741 views",26K,1.5K,Only In Russia! 🇷🇺,18,284
bald and bankrupt,https://www.youtube.com/watch?v=77Qns3GADQ8,"260,450 views",3.7K,127,Khabib Time Begins In Ingushetia ( UFC Part 2 ),47,155
bald and bankrupt,https://www.youtube.com/watch?v=X8iKOnIBhsA,"457,378 views",15K,90,Tuva Blues: 'Adventures In Throat Singing',42,199
bald and bankrupt,https://www.youtube.com/watch?v=tEk4MyafACg,"269,879 views",4.4K,59,Watching UFC In Dagestan ( UFC Part 1 ),39,287
bald and bankrupt,https://www.youtube.com/watch?v=9bwjASpCHrI,"204,751 views",4.2K,49,Journey To The Centre Of Asia,29,181
bald and bankrupt,https://www.youtube.com/watch?v=5vf7nnQG3LI,"299,972 views",6.6K,75,English Cowboy In Russia,24,124
bald and bankrupt,https://www.youtube.com/watch?v=pLEyPAVS9vw,"784,474 views",16K,222,Lost In Siberia ( 12 Hours In Uyar ),36,158
bald and bankrupt,https://www.youtube.com/watch?v=t3aaKIj00V4,"732,754 views",11K,250,Crazy Russian Bus Ride,22,275
bald and bankrupt,https://www.youtube.com/watch?v=8f1gqPteXVo,"77,294 views",2.7K,28,Tuvan Throat Singing,20,206
bald and bankrupt,https://www.youtube.com/watch?v=dnPbnlA49Rk,"37,534 views",1.4K,18,Visiting A Shaman In Tuva,25,183
bald and bankrupt,https://www.youtube.com/watch?v=23HwCUhclwA,"126,550 views",2.3K,38,Soviet Hotel Review #4,22,182
bald and bankrupt,https://www.youtube.com/watch?v=ileO8SNkv3s,"120,838 views",3.6K,28,One Hour On Lake Baikal,23,152
bald and bankrupt,https://www.youtube.com/watch?v=OKdBomdqwkk,"1,565,848 views",31K,3.7K,Visiting Russia's Most Dangerous Town | Посещение самого опасного города в России,81,295
bald and bankrupt,https://www.youtube.com/watch?v=ANyXBB4TMwY,"2,454,818 views",40K,12K,Visiting Russia's Poorest Town 🇷🇺,33,267
bald and bankrupt,https://www.youtube.com/watch?v=W_SSp-MANH8,"100,452 views",3.4K,101,Russian Parkour! MUST WATCH!!!,30,124
bald and bankrupt,https://www.youtube.com/watch?v=X2MGT92MDQ4,"156,449 views",3.1K,67,Soviet Hotel Review #3 The Mongoluk,35,185
bald and bankrupt,https://www.youtube.com/watch?v=BqJXwU_8UCU,"238,003 views",4.4K,213,"Soviet Hotel Review #2 Hotel Cosmos, Moscow",43,123
bald and bankrupt,https://www.youtube.com/watch?v=gcYCT9wEUuU,"796,518 views",32K,3.1K,Do Not Study Russian Grammar!,29,309
bald and bankrupt,https://www.youtube.com/watch?v=642qAOTKcxc,"2,339,322 views",36K,1K,The Cheapest Country In Europe? 🇧🇾,34,221
bald and bankrupt,https://www.youtube.com/watch?v=gCw24WI8_zU,"1,088,957 views",19K,653,Eating In A Soviet Restaurant,29,141
bald and bankrupt,https://www.youtube.com/watch?v=DZMwEjaSYtg,"221,803 views",4.6K,106,"Soviet Hotel Review #1 Hotel Circus, Gomel",42,158
bald and bankrupt,https://www.youtube.com/watch?v=eHJNtVVwTY8,"765,320 views",14K,884,Looking For Jesus In Kashmir,28,324
bald and bankrupt,https://www.youtube.com/watch?v=qwBtse1CTto,"343,158 views",8.6K,128,Exploring An Abandoned Indian Monastery,39,100
bald and bankrupt,https://www.youtube.com/watch?v=7ZjgtHhKBQw,"1,028,696 views",39K,714,Why I Returned To India After 20 Years,38,157
bald and bankrupt,https://www.youtube.com/watch?v=2IKUyvDotUI,"591,500 views",16K,760,Indian Truckers: World's Greatest Drivers,41,166
bald and bankrupt,https://www.youtube.com/watch?v=RFBIskQx-Z8,"642,717 views",15K,173,Tea Time In The Himalayas,25,91
bald and bankrupt,https://www.youtube.com/watch?v=NNWCCKCoRdo,"608,654 views",12K,298,A Foreigner Speaks Hindi ( Like A Local ),41,174
bald and bankrupt,https://www.youtube.com/watch?v=HJVDbRILzJs,"546,433 views",17K,269,My Indian Stalker,17,177
bald and bankrupt,https://www.youtube.com/watch?v=Y1JGqS-O7tk,"501,579 views",14K,358,India's Hardest Job!,20,187
bald and bankrupt,https://www.youtube.com/watch?v=LFzsHuntIlI,"209,543 views",5.3K,74,Foreigner speaking Hindi And Making Friends In India,52,241
bald and bankrupt,https://www.youtube.com/watch?v=wzVglw2MqkY,"301,477 views",7.7K,94,WORLD'S GREATEST ROAD TRIP - INDIA,34,309
bald and bankrupt,https://www.youtube.com/watch?v=uBIt8p3IMrM,"1,060,868 views",16K,1.2K,Hunting For India's Hijras,26,109
bald and bankrupt,https://www.youtube.com/watch?v=6bQyHot1dB4,"342,738 views",7.8K,309,Hustled by Indian Girls,23,228
bald and bankrupt,https://www.youtube.com/watch?v=VShysRB6oyU,"279,554 views",7.8K,135,India's Most Haunted Bridge,27,338
bald and bankrupt,https://www.youtube.com/watch?v=60ItP99P8i4,"2,105,513 views",49K,4K,I ❤️ India's Policewomen,24,182
