Channel Name,Video URL,Video ID,Views,Likes,Dislikes,Title,# Of Title Chars,# Of Description Chars
Joma Tech,https://www.youtube.com/watch?v=EiKK04Ht8QI,EiKK04Ht8QI,"2,280,599 views",127K,5.6K,Don't Be A Programmer,21,173
Joma Tech,https://www.youtube.com/watch?v=k2RqjYCTt6k,k2RqjYCTt6k,"134,602 views",3.7K,125,Top 3 Programming Languages For Data Science,44,134
Joma Tech,https://www.youtube.com/watch?v=OHviieMFY0c,OHviieMFY0c,"94,572 views",2.8K,108,Cool Kids Code In Javascript (PART 3),37,134
Joma Tech,https://www.youtube.com/watch?v=ivvWyIscEt0,ivvWyIscEt0,"307,764 views",5.7K,269,Interview with Ex-Citadel Quant Turned Rapper (ft. Kaido Kid),61,157
Joma Tech,https://www.youtube.com/watch?v=tgOLVIiI8WY,tgOLVIiI8WY,"212,139 views",8K,297,STARTUP EP 07 | The Techlead,28,134
Joma Tech,https://www.youtube.com/watch?v=Ck0ozfJV9-g,Ck0ozfJV9-g,"1,339,444 views",23K,1.6K,A Day In The Life Of A Data Scientist,37,134
Joma Tech,https://www.youtube.com/watch?v=ilTczNXeFDI,ilTczNXeFDI,"52,598 views",1.3K,33,"Software Engineer Gets ""LIT"" During Offsite (ft. THE TECHLEAD)",62,134
Joma Tech,https://www.youtube.com/watch?v=y4an6a7A6g8,y4an6a7A6g8,"52,379 views",2K,59,The Most Important Thing I've Learned Working at Untitled Large Company,71,134
Joma Tech,https://www.youtube.com/watch?v=LOplxmuEK6g,LOplxmuEK6g,"75,215 views",1.9K,163,Interview with my Ex-Girlfriend,31,134
Joma Tech,https://www.youtube.com/watch?v=vKANtVUE1dM,vKANtVUE1dM,"452,301 views",9.5K,746,Data Scientist Apartment Tour in Silicon Valley,47,134
Joma Tech,https://www.youtube.com/watch?v=4Z6lxfglvUU,4Z6lxfglvUU,"406,694 views",13K,229,3 Types of Data Science Interview Questions,43,134
Joma Tech,https://www.youtube.com/watch?v=xC-c7E5PK0Y,xC-c7E5PK0Y,"1,777,742 views",67K,922,What REALLY is Data Science? Told by a Data Scientist,53,178
